FIRE_NAME,DISCOVERY_DOY,DISCOVERY_DATE,FIRE_YEAR,STAT_CAUSE_DESCR,FIRE_SIZE,LATITUDE,LONGITUDE,STATE,CONT_DOY,CONT_DATE
POWER,280,2453284.5,2004,Equipment Use,16823,38.52333333,-120.2116667,CA,295,2453299.5
FREDS,287,2453291.5,2004,Equipment Use,7700,38.78,-120.26,CA,291,2453295.5
THREE,172,2453542.5,2005,Lightning,16100,33.72333333,-111.275,AZ,180,2453550.5
FORK,149,2453519.5,2005,Lightning,11936,33.61333333,-108.5588889,NM,241,2453611.5
MASON,188,2453558.5,2005,Lightning,11357,38.16972222,-105.0380556,CO,197,2453567.5
RUNNING LAKE,222,2453592.5,2005,Lightning,7404,45.92333333,-115.025,ID,273,2453643.5
MILL CREEK,201,2453571.5,2005,Lightning,7892,37.17388889,-113.5383333,UT,203,2453573.5
BEAVER JACK,213,2453583.5,2005,Lightning,7244.4,45.73027778,-114.7066667,ID,304,2453674.5
SCHOOL,217,2453587.5,2005,Miscellaneous,52000,46.23444444,-117.6805556,WA,274,2453644.5
NINE SHOT,238,2453608.5,2005,Lightning,20400,45.09055556,-114.7036111,ID,304,2453674.5
NORTH ROAD,241,2453611.5,2005,Debris Burning,12855,41.99555556,-117.6388889,NV,243,2453613.5
JOHNSON,163,2453533.5,2005,Lightning,11611,34.04666667,-108.8794444,NM,241,2453611.5
BEAR CREEK WFU,214,2453584.5,2005,Lightning,5722,45.45583333,-114.9775,ID,308,2453678.5
MUDERSBACH,175,2453545.5,2005,Lightning,7260,35.86611111,-111.9252778,AZ,248,2453618.5
FLORIDA,188,2453558.5,2005,Lightning,23183,31.42277778,-111.33,AZ,205,2453575.5
VALLEY ROAD,246,2453616.5,2005,Debris Burning,40483,43.99277778,-114.7861111,ID,271,2453641.5
BURNT STRIP MOUNTAIN,221,2453591.5,2005,Lightning,8580,45.70416667,-114.9986111,ID,299,2453669.5
BULL,149,2453519.5,2005,Lightning,77000,33.39472222,-108.2897222,NM,288,2453658.5
SIGNAL ROCK,221,2453591.5,2005,Lightning,13327,46.14833333,-113.7958333,MT,312,2453682.5
ROCK IN,215,2453585.5,2005,Lightning,6869,46.05361111,-114.4047222,MT,242,2453612.5
PEPPIN,136,2453140.5,2004,Lightning,64488,33.60138889,-105.4333333,NM,,
JOE CREEK WFU,222,2453592.5,2005,Lightning,13866,45.23055556,-115.3205556,ID,307,2453677.5
WEST FORK WFU,225,2453595.5,2005,Lightning,9933,45.23638889,-115.3205556,ID,307,2453677.5
MISSOURI RIDGE WFU,215,2453585.5,2005,Lightning,6775,45.00055556,-115.3875,ID,307,2453677.5
BUTTE,197,2453567.5,2005,Lightning,7962,34.40638889,-111.9797222,AZ,205,2453575.5
BLOSSOM,202,2453572.5,2005,Lightning,14772,42.72361111,-123.9383333,OR,266,2453636.5
OK STATE LINE,347,2453717.5,2005,Smoking,6080,36.56972222,-103,OK,347,2453717.5
TARKIO,216,2453586.5,2005,Miscellaneous,9082,47.01888889,-114.6802778,MT,274,2453644.5
WHITE DOG,316,2453686.5,2005,Miscellaneous,5300,31.13833333,-89.1125,MS,327,2453697.5
EDGE,197,2453567.5,2005,Lightning,72000,33.66666667,-111.4666667,AZ,205,2453575.5
NO MANS LAND,72,2453807.5,2006,Lightning,8294,34.44166667,-93.84444444,AR,81,2453816.5
WINDY,71,2453806.5,2006,Miscellaneous,6343,36.66083333,-102.9841667,OK,71,2453806.5
I-40,71,2453806.5,2006,Miscellaneous,427696,35.21666667,-100.9333333,TX,78,2453813.5
FLATSIDE,97,2453832.5,2006,Lightning,5091,34.83583333,-93.04305556,AR,102,2453837.5
JACKASS,198,2453933.5,2006,Lightning,6255,38.55166667,-119.3594444,CA,202,2453937.5
MARTINEZ II,165,2453900.5,2006,Lightning,6618,33.59722222,-108.8888889,NM,182,2453917.5
WILSON,157,2453892.5,2006,Lightning,5216,33.85722222,-108.2233333,NM,168,2453903.5
TIGER,180,2453915.5,2006,Lightning,5143,34.17916667,-112.2288889,AZ,189,2453924.5
SHARPS RIDGE,231,2453966.5,2006,Lightning,5394.9,44.80277778,-118.7402778,OR,249,2453984.5
BEAR,170,2453905.5,2006,Campfire,55307,33.41138889,-108.6313889,NM,235,2453970.5
WARM,159,2453894.5,2006,Lightning,58630,36.65972222,-112.19,AZ,221,2453956.5
POTATO,157,2453892.5,2006,Lightning,6262,34.49416667,-110.7438889,AZ,191,2453926.5
BLACK HORSE CREEK,200,2453935.5,2006,Lightning,7829.4,45.59583333,-101.9944444,SD,205,2453940.5
VERDI (STONE RIDGE),223,2453958.5,2006,Miscellaneous,6052,39.535,-119.9669444,NV,226,2453961.5
SIERRA,37,2453772.5,2006,Miscellaneous,10584,33.85194444,-117.6497222,CA,37,2453772.5
BIG CREEK,210,2453945.5,2006,Lightning,14000,45.31583333,-110.8686111,MT,292,2454027.5
DERBY,234,2453969.5,2006,Lightning,207115,45.53611111,-109.9347222,MT,292,2454027.5
PASSAGE FALLS,241,2453976.5,2006,Lightning,6620,45.23472222,-110.4736111,MT,292,2454027.5
JUNGLE,243,2453978.5,2006,Lightning,25828,45.43694444,-110.3988889,MT,292,2454027.5
0564 - MAXWELL FIRE,205,2453940.5,2006,Lightning,7145,44.49083333,-120.1975,OR,252,2453987.5
ROBERTS TRACT,207,2453942.5,2006,Lightning,10079,42.68333333,-103.145,NE,232,2453967.5
SPOTTED TAIL #3,209,2453944.5,2006,Lightning,17899,42.69111111,-102.9605556,NE,232,2453967.5
WATT DRAW,194,2453929.5,2006,Lightning,17552,45.49111111,-105.9713889,MT,204,2453939.5
SNOW CANYON,232,2453967.5,2006,Lightning,22233.6,41.42361111,-116.0738889,NV,239,2453974.5
POTATO,208,2453943.5,2006,Lightning,18236,44.32472222,-114.8394444,ID,261,2453996.5
BOUNDARY,219,2453954.5,2006,Lightning,11005,44.49861111,-115.2891667,ID,317,2454052.5
HORSE,204,2453939.5,2006,Campfire,16677,32.75444444,-116.6691667,CA,210,2453945.5
SHERWOOD,176,2453911.5,2006,Lightning,7378,38.255,-115.4016667,NV,176,2453911.5
NORTH ELK,233,2453968.5,2006,Lightning,6099,44.5275,-115.4577778,ID,263,2453998.5
COLUMBIA COMPLEX,233,2453968.5,2006,Lightning,109259,46.14305556,-118.0441667,WA,282,2454017.5
RED MOUNTAIN,226,2453961.5,2006,Campfire,35482,44.24333333,-115.3863889,ID,279,2454014.5
SOMES,205,2453940.5,2006,Lightning,15710,41.315,-123.4966667,CA,291,2454026.5
JIM CREEK,234,2453969.5,2006,Lightning,12946,45.9475,-116.8788889,OR,258,2453993.5
RATTLESNAKE,232,2453967.5,2006,Lightning,43600,44.30138889,-115.7872222,ID,310,2454045.5
RALSTON,248,2453983.5,2006,Miscellaneous,8422,39.01666667,-120.7025,CA,248,2453983.5
HUNTER,205,2453940.5,2006,Lightning,16296,39.66055556,-122.8616667,CA,250,2453985.5
HANCOCK,205,2453940.5,2006,Lightning,10770,41.44888889,-123.2925,CA,296,2454031.5
PUZZLE,231,2453966.5,2006,Miscellaneous,6340,44.58972222,-121.8447222,OR,252,2453987.5
TITUS,204,2453939.5,2006,Lightning,5792,41.60277778,-123.3769444,CA,,
DUNCE WFU,189,2453924.5,2006,Lightning,7898,45.125,-114.7830556,ID,255,2453990.5
DAY,247,2453982.5,2006,Debris Burning,162702,34.63222222,-118.7697222,CA,303,2454038.5
PERKINS,170,2453905.5,2006,Miscellaneous,14988,34.94361111,-119.6872222,CA,201,2453936.5
