StateCode,YearMonth,PCP,TAVG,PDSI
1,199201,6.12,44.1,-0.28
1,199202,5.99,51.4,-0.1
1,199203,4.03,54.9,-0.7
1,199204,2.91,61.5,-1.12
1,199205,1.95,68,-1.6
1,199206,5.44,74.9,0.51
1,199207,6.07,79.9,0.71
1,199208,5.87,75.8,1.49
1,199209,3.61,73.4,1.48
1,199210,2.59,61.9,1.49
1,199211,9.48,52.4,3.2
1,199212,5.73,47.1,3.1
1,199301,6.21,48.8,3.05
1,199302,3.72,46.2,-0.4
1,199303,6.59,51.7,-0.19
1,199304,3.26,58.7,-0.47
1,199305,3.8,68.8,-0.44
1,199306,3.39,77.6,-0.62
1,199307,2.88,82.2,-1.57
1,199308,4.72,80.1,-1.55
1,199309,3.83,74,-1.5
1,199310,3.71,62.8,0.22
1,199311,3.88,51.7,0.23
1,199312,4.29,45.3,0.01
1,199401,5.31,40.8,0.15
1,199402,5.08,50.3,0.05
1,199403,7.25,55.7,0.27
1,199404,4.4,64.7,-0.22
1,199405,3.2,68.4,-0.39
1,199406,7,77.8,0.96
1,199407,9.43,77.6,2.41
1,199408,2.91,77.2,2.02
1,199409,3.61,72.2,1.93
1,199410,4.97,64,2.52
1,199411,3.5,58,-0.12
1,199412,3.67,49.9,-0.51
1,199501,4.83,45.4,-0.54
1,199502,5.65,47.6,-0.34
1,199503,5.42,58.2,-0.65
1,199504,5.07,63.2,-0.56
1,199505,3.32,72.1,-0.87
1,199506,3.36,75.2,-0.93
1,199507,3.87,81.1,-1.52
1,199508,4.79,81.9,-1.53
1,199509,3.09,73.7,-1.68
1,199510,9.3,63.6,1.99
1,199511,5.8,49.7,2.63
1,199512,5.07,44.7,2.44
1,199601,7.4,43.5,2.93
1,199602,4.07,47.3,2.31
1,199603,8.45,50.9,2.75
1,199604,4.65,60,2.5
1,199605,2.56,73,1.57
1,199606,3.38,76.7,1.1
1,199607,6.63,79.6,1.23
1,199608,4.7,77.9,1.29
1,199609,5.71,72.1,1.84
1,199610,2.38,62.7,1.7
1,199611,3.46,52.7,1.48
1,199612,4.94,49.1,1.29
1,199701,6.47,45.9,1.57
1,199702,6.16,50.8,1.64
1,199703,3.87,61.2,0.6
1,199704,6.03,58.8,0.98
1,199705,5.39,67.2,1.48
1,199706,7.91,74,2.8
1,199707,5.33,80.1,2.6
1,199708,2.88,77.7,2.11
1,199709,3.3,74.8,1.71
1,199710,5.1,63.1,2.29
1,199711,5.7,50,2.81
1,199712,4.82,44.8,2.53
1,199801,8.14,47.8,3.15
1,199802,7.29,49.2,3.43
1,199803,6.2,53.4,3.09
1,199804,5.39,61.6,2.94
1,199805,2.28,73.6,-0.8
1,199806,3.22,80.7,-1.42
1,199807,6.07,81.8,-1.47
1,199808,3.44,79.9,-1.85
1,199809,8.29,77.4,1.14
1,199810,1.37,66.8,-0.4
1,199811,3.3,57.9,-0.67
1,199812,4.27,51.4,-0.96
1,199901,7.94,49.4,-0.08
1,199902,2.55,51.8,-0.93
1,199903,5.65,52.8,-0.95
1,199904,2.57,67.1,-1.68
1,199905,4.11,69.5,-0.04
1,199906,8.31,76.7,1.45
1,199907,4.63,80.5,-0.15
1,199908,2.02,81.8,-1
1,199909,1.91,73.3,-1.57
1,199910,3.39,63.6,-1.33
1,199911,2.61,56.2,-1.72
1,199912,3.32,47,-2.17
1,200001,4.69,46.5,-2.12
1,200002,1.99,52.3,-2.96
1,200003,5.05,58.9,-3.12
1,200004,4.83,60.1,-2.73
1,200005,1.32,74,-3.59
1,200006,3.71,77.6,-3.6
1,200007,2.26,81.9,-4.61
1,200008,2.36,81,-5.25
1,200009,3.49,73.9,-4.97
1,200010,0.8,64.6,-5.29
1,200011,7.7,52.8,1.1
1,200012,4.29,39.2,0.92
1,200101,4.69,41.2,0.78
1,200102,4.11,52.6,0.27
1,200103,10.11,51.4,1.36
1,200104,3.88,64.7,0.86
1,200105,4.03,70.6,0.73
1,200106,7.15,75.8,1.78
1,200107,3.95,79.7,1.3
1,200108,5.48,78.5,1.71
1,200109,4.8,71.9,2.04
1,200110,3.27,60.6,2.25
1,200111,3.43,58.8,-0.18
1,200112,4.14,50.6,-0.45
1,200201,5.11,46.8,-0.43
1,200202,2.99,46,-0.99
1,200203,5.79,55,-1.03
1,200204,2.19,66.4,-1.82
1,200205,4.09,70.2,-1.75
1,200206,3.77,77.2,-1.68
1,200207,5.38,80.3,-1.65
1,200208,3.24,79.7,-1.92
1,200209,7.57,77.3,0.97
1,200210,5.58,67.8,1.77
1,200211,4.88,51,2.11
1,200212,6.54,45.2,2.38
1,200301,2.33,40,1.38
1,200302,6.76,48,1.71
1,200303,4.67,57.6,1
1,200304,6.41,63.3,1.28
1,200305,8.49,71.6,2.54
1,200306,8.17,75.6,3.75
1,200307,7.74,78.5,4.34
1,200308,5.7,79.4,4.61
1,200309,3.7,73.1,4.38
1,200310,1.61,63.5,-0.13
1,200311,4.67,58.2,0.18
1,200312,3.47,44,-0.35
1,200401,3.27,44.2,-0.85
1,200402,7.06,45.4,-0.16
1,200403,2.28,59,-1.36
1,200404,3.37,61.2,-1.58
1,200405,4,72.7,-1.59
1,200406,7.53,76.8,1.19
1,200407,4.43,79.2,0.95
1,200408,4.48,76.3,1.21
1,200409,6.63,73.8,2.1
1,200410,3.87,68.5,2.37
1,200411,8.12,57.8,3.46
1,200412,4.84,45.1,3.12
1,200501,2.86,49.2,2.03
1,200502,4.96,51.2,1.69
1,200503,5.85,53.5,1.43
1,200504,7.6,61,2.07
1,200505,2.8,68.3,1.53
1,200506,6.37,76.7,2.17
1,200507,9.19,80.4,3.23
1,200508,6.01,80.5,3.65
1,200509,3.29,76.9,-0.05
1,200510,0.61,63.8,-0.58
1,200511,3.59,55.8,-0.67
1,200512,3.95,43.4,-0.85
1,200601,5.23,51.1,-0.85
1,200602,5.05,46.1,-0.76
1,200603,2.97,56.1,-1.62
1,200604,3.07,67.5,-2.16
1,200605,4.41,70.4,-1.87
1,200606,2.01,78.1,-2.39
1,200607,3.33,81.9,-3.12
1,200608,3.91,82.3,-3.37
1,200609,3.53,72.8,-3.19
1,200610,5.13,61.9,-2.18
1,200611,4.84,52.8,-1.6
1,200612,4.06,49.4,-1.73
1,200701,4.34,46.7,-1.8
1,200702,2.64,44.8,-2.31
1,200703,1.56,60,-3.52
1,200704,3.91,60,-3.4
1,200705,0.73,71.2,-4.23
1,200706,2.78,78.8,-4.57
1,200707,5.2,79.2,-4.4
1,200708,2.67,84.4,-5.05
1,200709,3.11,76,-5.02
1,200710,3.92,66.5,-4.4
1,200711,2.75,53.6,-4.36
1,200712,4.25,51.6,-4.37
1,200801,4.09,43,-4.19
1,200802,5.79,49.2,-3.61
1,200803,4.01,55.2,-3.86
1,200804,4.53,62.8,-3.58
1,200805,4.43,70.3,-3.1
1,200806,2.69,78.7,-3.29
1,200807,4.04,80,-3.54
1,200808,8.89,78.4,1.52
1,200809,1.65,74.5,0.82
1,200810,3.02,62.2,0.91
1,200811,3.15,51,0.69
1,200812,6.78,49.7,1.07
1,200901,4.42,45.3,0.76
1,200902,3.85,48.2,0.28
1,200903,8.98,57.3,0.89
1,200904,4.45,61.4,0.72
1,200905,8.51,71.2,2.07
1,200906,2.71,79.4,1.31
1,200907,5.59,78.1,1.23
1,200908,5.49,78,1.56
1,200909,7.57,75,2.58
1,200910,7.18,62.8,4
1,200911,4.39,53.4,3.9
1,200912,10.63,44.8,5.14
1,201001,6.21,40,5.04
1,201002,4.22,40.6,-0.16
1,201003,5.07,51.2,-0.37
1,201004,2.82,64.2,-0.96
1,201005,6.15,73.3,-0.35
1,201006,3.26,80.9,-0.78
1,201007,3.5,82.6,-1.61
1,201008,4.83,83,-1.71
1,201009,1.61,76.9,-2.51
1,201010,2.59,64.3,-2.47
1,201011,4.73,55.2,-2.1
1,201012,2.2,40.3,-2.67
1,201101,4.03,41.1,-2.65
1,201102,3.49,49.5,-2.91
1,201103,8.18,57.8,-2.2
1,201104,5.08,65.7,-2.06
1,201105,1.64,69.9,-2.64
1,201106,3.55,81.2,-2.99
1,201107,5.52,81.7,-3.02
1,201108,2.05,81.8,-3.87
1,201109,7.21,72.1,-2.44
1,201110,0.79,60.6,-2.6
1,201111,4.13,55.3,-2.32
1,201112,5.04,49.3,-2.13
1,201201,5.44,50.1,-1.9
1,201202,4.49,52.1,-2.01
1,201203,5.35,64.6,-2.41
1,201204,1.89,65,-3.08
1,201205,4.16,73.4,-3.05
1,201206,4,76.8,-2.8
1,201207,5.75,81.6,-2.64
1,201208,6.07,78.1,0.64
1,201209,5.35,73,1.16
1,201210,2.91,62.2,1.29
1,201211,1.36,51.2,0.52
1,201212,6.61,50.9,0.82
1,201301,6.27,50,1
1,201302,8.86,48,1.99
1,201303,3.83,49.8,1.26
1,201304,5.71,62.2,1.36
1,201305,4,68.2,1.3
1,201306,5.81,78,1.73
1,201307,8.7,77.7,2.87
1,201308,5.5,77.9,3.3
1,201309,3.2,75,2.97
1,201310,1.47,64.9,2.4
1,201311,3.42,51.6,2.11
1,201312,7.93,47.9,2.72
1,201401,2.7,37.3,1.82
1,201402,5.75,47.3,1.82
1,201403,5.57,52.3,1.51
1,201404,9.67,62.4,2.64
1,201405,4.27,70.2,2.44
1,201406,5.23,77.9,2.56
1,201407,3.36,77.8,-0.4
1,201408,3.25,79.5,-0.72
1,201409,2.51,76.3,-1.23
1,201410,4.38,65.2,-0.73
1,201411,2.98,48.2,-0.8
1,201412,6.36,50,-0.42
1,201501,4.34,43.6,-0.57
1,201502,4.05,41.3,-0.74
1,201503,4.28,57.8,-1.3
1,201504,7.14,66,-0.7
1,201505,4.32,71.8,-0.64
1,201506,3.27,78.8,-0.91
1,201507,4.71,81.6,-1.26
1,201508,4.94,79,-0.99
1,201509,2.71,74.4,-1.3
1,201510,2.93,65,-1.24
1,201511,6.8,59.2,0.68
1,201512,11.87,56.9,2.33
50,199201,3.59,6.5,-99.99
50,199202,2.69,0.3,-99.99
50,199203,3.14,12.8,-99.99
50,199204,1.43,22.6,-99.99
50,199205,2.27,33.9,-99.99
50,199206,2.6,50.6,-99.99
50,199207,2.87,54.6,-99.99
50,199208,4.49,49.6,-99.99
50,199209,4,31.6,-99.99
50,199210,3.45,20.9,-99.99
50,199211,4.54,13.8,-99.99
50,199212,3.47,3.2,-99.99
50,199301,3.75,3.2,-99.99
50,199302,2.84,10.6,-99.99
50,199303,1.85,16.7,-99.99
50,199304,1.13,30.4,-99.99
50,199305,1.62,42.2,-99.99
50,199306,1.97,51.5,-99.99
50,199307,1.8,56.8,-99.99
50,199308,4.45,50.1,-99.99
50,199309,6.05,39.7,-99.99
50,199310,5.04,29.9,-99.99
50,199311,4.94,15.8,-99.99
50,199312,3.81,11.9,-99.99
50,199401,2.72,7.4,-99.99
50,199402,1.29,4.1,-99.99
50,199403,3.36,9,-99.99
50,199404,1.8,25.6,-99.99
